Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,O,P,#,O,O,O,↓,O,O
# O,#,#,O,O,O,O,→,↓,O
# O,O,O,#,#,#,#,D,→,E
# O,#,O,#,#,O,#,#,O,O
# O,O,O,O,#,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

25,1,2,25,1,1,98,0.102,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,P,#,O,#,#,O,O
# S,→,→,→,→,→,→,↓,D,O
# O,O,O,O,O,O,#,→,→,E
# O,O,O,#,#,O,O,#,#,O
# O,#,O,O,O,O,#,O,O,O
# O,O,#,O,O,O,O,#,O,O
# O,#,#,O,O,O,#,#,O,O
# O,O,O,O,#,#,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

26,1,2,25,0,1,112,0.102,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,#,O,D,O,O
# S,→,→,→,→,→,→,→,→,E
# O,O,P,#,O,O,#,O,O,O
# O,#,O,O,O,#,O,O,O,O
# O,O,O,#,O,O,#,#,#,O
# O,O,O,O,#,#,#,O,#,O
# O,O,O,O,#,O,O,#,O,O
# O,O,O,O,#,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

27,2,1,0,0,0,24,0.147,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,#,O,O,O,O,O
# O,#,#,O,O,#,O,O,O,O
# O,#,#,#,O,O,O,#,O,O
# O,O,#,#,P,O,O,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,#,#,O,O,D,O,O,O,O
# O,#,O,#,#,O,O,O,O,O
# O,#,O,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

28,1,2,21,0,1,142,0.126,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,O,O,O,O
# S,→,→,→,↓,P,O,O,O,O
# O,#,#,O,↓,#,#,O,#,O
# O,#,O,#,↓,#,O,O,#,O
# O,O,O,#,↓,O,O,#,O,O
# O,O,#,O,↓,O,O,O,O,O
# O,#,O,O,→,→,→,→,→,E
# O,O,O,O,D,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

29,2,1,1,0,0,26,0.125,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,#,O,O,O,O
# O,O,#,O,#,#,#,#,O,O
# O,O,O,O,#,O,O,O,#,O
# O,O,#,P,O,#,O,O,→,E
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,#,O,O,#,O,D,O
# O,O,O,#,O,#,O,O,#,O
# O,O,#,O,#,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

30,3,1,0,0,0,30,0.14,0.7789853
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,O,O,O,O,O
# O,O,#,O,O,O,#,#,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,P,#,O,O,D,↓,O
# O,O,O,O,O,#,#,O,↓,O
# O,O,O,#,#,#,#,#,↓,O
# O,#,#,O,O,#,O,O,↓,O
# O,O,O,O,#,O,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

31,2,3,40,1,2,182,0.134,0.733683
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,P,O,O,O,O
# O,#,#,O,D,→,→,→,↓,O
# O,O,#,#,O,↑,O,O,↓,O
# S,→,→,↓,D,↑,O,O,↓,O
# O,#,O,→,→,↑,#,O,↓,O
# O,O,#,O,P,O,O,#,↓,O
# O,O,O,#,O,#,O,#,→,E
# O,O,O,#,#,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

32,1,1,13,0,0,78,0.108,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,#,O,#,#,O
# O,O,#,#,#,#,D,O,O,O
# O,O,O,O,#,P,→,→,→,E
# O,O,O,O,O,O,↑,O,D,O
# O,O,#,O,O,O,↑,O,O,O
# O,#,O,O,O,#,↑,O,#,O
# O,O,#,#,P,O,↑,O,O,O
# S,→,→,→,→,→,↑,#,#,O
# O,O,O,O,O,O,O,O,O,O

33,2,1,0,0,0,24,0.144,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,#,O,#,#,O
# O,O,#,#,O,O,O,O,O,O
# O,#,#,#,O,O,#,O,O,O
# O,O,#,#,#,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,P,#,#,D,#,O,O,O,O
