Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,O,P,#,D,#,P,O,#,O
# O,O,O,O,O,O,O,O,O,O

19,6,1,0,0,0,37,0.559,0.7308081
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,#,O,#,#,O,O,O
# O,→,→,→,→,→,→,→,↓,O
# O,↑,#,O,D,#,P,#,→,E
# O,↑,←,←,←,←,←,←,O,O
# O,#,O,O,O,#,D,↑,O,O
# S,→,↓,P,O,#,#,↑,←,O
# O,D,→,↓,P,#,O,D,↑,O
# O,#,O,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

20,6,1,0,0,0,36,0.462,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,D,O,O,O,#,O
# O,O,#,→,→,→,→,→,↓,O
# O,#,P,↑,←,←,←,O,↓,O
# O,O,O,→,→,↓,↑,O,→,E
# O,P,→,↑,D,↓,↑,←,#,O
# S,→,↑,P,↓,←,P,↑,←,O
# O,#,#,#,→,→,→,→,↑,O
# O,O,O,#,D,#,#,O,D,O
# O,O,O,O,O,O,O,O,O,O

21,6,1,1,0,0,36,0.511,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,#,O,→,→,↓,O,#,O
# O,↓,D,→,↑,D,↓,D,O,O
# O,→,→,↑,P,↓,←,→,↓,O
# O,P,↓,←,←,←,#,↑,→,E
# O,O,↓,P,O,#,O,↑,←,O
# O,O,→,→,→,→,→,→,↑,O
# O,#,#,D,#,O,O,O,P,O
# O,O,#,#,O,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

22,6,1,1,0,0,31,0.502,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,O,#,#,#,O,O,O
# O,→,→,→,→,↓,O,O,→,E
# O,O,D,O,#,↓,O,O,↑,O
# O,#,#,#,#,→,↓,D,↑,O
# O,#,#,O,O,P,↓,→,↑,O
# O,O,O,#,P,↓,←,↑,D,O
# O,P,↓,←,←,←,D,↑,←,O
# O,#,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

23,6,1,0,0,0,36,0.5,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,P,#,O,#,O
# O,O,O,P,O,→,→,→,↓,O
# O,#,O,→,→,↑,D,↓,←,O
# O,→,→,↑,#,↓,←,←,D,O
# O,↑,D,O,P,↓,P,#,O,O
# O,↑,←,←,←,→,↓,O,#,O
# S,→,→,→,↑,#,→,→,↓,O
# O,O,#,#,#,O,D,O,→,E
# O,O,O,O,O,O,O,O,O,O

24,6,1,2,0,0,41,0.489,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,D,O,O,O,O
# O,O,D,O,#,→,↓,O,D,O
# O,#,→,→,→,↑,↓,#,→,E
# O,P,↑,#,P,↓,←,#,↑,O
# O,→,↑,O,↓,←,#,#,↑,O
# S,↑,↓,←,←,P,O,#,↑,O
# O,O,→,↓,D,O,#,O,↑,O
# O,#,P,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

25,6,1,3,0,0,31,0.526,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,→,→,→,↓,O
# O,O,O,O,→,↑,P,↓,←,O
# O,#,#,D,↑,←,←,↓,D,O
# O,D,O,→,→,↓,↑,→,↓,O
# O,→,→,↑,P,↓,↑,O,↓,O
# O,↑,#,D,#,↓,↑,#,→,E
# S,↑,P,#,O,→,↑,O,#,O
# O,O,O,O,O,P,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

26,6,1,1,0,0,37,0.502,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,D,O,→,→,↓,O
# O,O,→,→,→,→,↑,P,↓,O
# O,#,↑,D,↓,←,←,←,→,E
# O,#,↑,←,←,O,O,↑,←,O
# O,O,#,P,O,#,O,P,↑,O
# O,O,#,O,#,O,O,→,↑,O
# O,#,#,#,P,O,→,↑,D,O
# S,→,→,→,→,→,↑,D,#,O
# O,O,O,O,O,O,O,O,O,O

27,6,1,3,0,0,39,0.479,0.7547845
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,→,→,→,↓,P,O,O
# S,→,→,↑,#,#,→,→,↓,O
# O,P,O,D,O,#,#,D,↓,O
# O,#,O,#,#,O,#,↓,←,O
# O,O,P,O,O,O,#,↓,O,O
# O,↓,←,←,←,←,←,←,#,O
# O,↓,D,#,O,O,#,D,→,E
# O,→,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

28,6,1,0,0,0,34,0.513,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,→,→,→,→,↓,#,O
# O,#,#,↑,P,O,↓,←,P,O
# O,#,O,↑,←,←,↓,D,O,O
# S,→,→,↓,P,↑,→,↓,D,O
# O,#,↓,←,#,↑,O,→,↓,O
# O,#,→,↓,P,↑,#,O,↓,O
# O,O,D,→,→,↑,#,O,→,E
# O,O,O,#,#,D,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

29,6,1,0,0,0,38,0.489,0.7453378
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,↓,P,O,O
# O,#,#,#,#,D,→,↓,→,E
# O,O,#,O,O,O,P,↓,↑,O
# O,O,O,D,↓,←,←,←,↑,O
# O,#,↓,←,←,#,#,O,↑,O
# O,O,↓,#,O,O,#,O,↑,O
# O,D,→,→,→,↓,D,→,↑,O
# O,O,P,#,#,→,→,↑,P,O
# O,O,O,O,O,O,O,O,O,O

30,6,1,0,0,0,32,0.529,0.7377148
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,→,→,→,→,→,E
# O,O,↑,D,O,P,#,D,#,O
# O,#,↑,←,←,←,←,←,O,O
# O,#,#,#,O,O,O,↑,←,O
# O,O,#,#,→,→,↓,P,↑,O
# S,→,↓,→,↑,P,↓,→,↑,O
# O,#,→,↑,D,O,→,↑,#,O
# O,#,P,O,O,O,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

31,7,1,0,0,0,28,0.518,0.7698412
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,D,O,#,O,O,#,#,O
# O,O,→,→,↓,D,O,#,O,O
# S,→,↑,P,↓,→,↓,P,O,O
# O,↓,←,←,←,↑,→,↓,D,O
# O,→,→,→,→,↑,↓,←,#,O
# O,P,O,#,↓,←,←,#,O,O
# O,#,#,#,↓,P,#,#,D,O
# O,O,O,O,→,→,→,→,→,E
# O,O,O,O,O,O,O,O,O,O

32,7,1,3,0,0,42,0.512,0.7365079
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,→,→,→,↓,O,O
# O,O,#,→,↑,D,↓,←,#,O
# O,→,→,↑,P,↓,←,P,→,E
# O,↑,P,↓,←,←,#,#,↑,O
# O,↑,←,↓,O,O,O,O,↑,O
# O,D,↑,↓,#,O,O,O,↑,O
# S,→,↑,↓,#,O,O,#,↑,O
# O,#,D,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

33,7,1,0,0,0,41,0.535,0.8888888
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,→,→,→,→,↓,O
# O,→,→,→,↑,P,O,#,↓,O
# O,↑,←,←,←,←,←,O,↓,O
# O,D,#,→,→,→,↑,O,↓,O
# O,#,O,↑,P,O,D,#,↓,O
# O,#,O,↑,←,←,←,O,→,E
# O,O,→,→,→,→,↑,#,#,O
